,id,name,times,percentage,weight,frequency
0,1404751964361842690,语境分析,103,12.52%,12.0,高频
1,1404751967478210561,逻辑判断,71,8.63%,7.0,高频
2,1404751967448850433,定义判断,50,6.08%,6.0,高频
3,1404751966018592769,类比推理,49,5.95%,6.0,高频
4,1404751964630278146,中心主旨,47,5.71%,6.0,高频
5,1404751964387008514,词语辨析,38,4.62%,4.0,高频
6,1404751966698070017,平面图形,38,4.62%,4.0,高频
7,1404751969713774593,时政,24,2.92%,2.61,高频
8,1404751969248206849,综合分析,22,2.67%,2.0,高频
9,1405091214981746690,细节理解,21,2.55%,2.0,高频
10,1404751968828776450,现期比重,17,2.07%,2.0,高频
11,1404751967323021314,立体图形,16,1.94%,2.0,高频
12,1404751964491866113,句子排序,13,1.58%,2.0,高频
13,1404751968585506818,一般增长率,13,1.58%,2.0,高频
14,1404751964466700290,句子填空,11,1.34%,1.0,高频
15,1404751965636911105,和差倍比问题,11,1.34%,1.0,高频
16,1404751968992354305,现期平均数,11,1.34%,1.0,高频
17,1404751970535858178,自然常识,11,1.34%,1.0,高频
18,1404751964680609794,细节理解,10,1.22%,1.0,高频
19,1404751964789661698,推断下文,9,1.09%,1.0,高频
20,1404751965716602881,几何问题,9,1.09%,1.0,高频
21,1404751970154176514,其他法律法规,9,1.09%,1.0,高频
22,1404751964655443970,标题添加,8,0.97%,0.5,中频
23,1404751968287711234,简单加减计算,8,0.97%,0.5,中频
24,1404751970254839809,物理常识,8,0.97%,0.5,中频
25,1404751970305171458,生物常识,8,0.97%,0.5,中频
26,1404751970485526529,文化常识,8,0.97%,0.5,中频
27,1404751965456556034,最值问题,7,0.85%,0.5,中频
28,1404751965804683266,概率问题,7,0.85%,0.5,中频
29,1404751970355503105,科技理论与成就,7,0.85%,0.5,中频
30,1404751964869353473,语句衔接,6,0.73%,0.5,中频
31,1404751965402030082,工程问题,6,0.73%,0.5,中频
32,1404751965771128834,排列组合问题,6,0.73%,0.5,中频
33,1404751965834043393,经济利润问题,6,0.73%,0.5,中频
34,1404751968719724546,增长量计算,6,0.73%,0.5,中频
35,1404751970330337281,生活常识,6,0.73%,0.5,中频
36,1404751970405834753,中国历史,6,0.73%,0.5,中频
37,1404751970460360706,文学常识,6,0.73%,0.5,中频
38,1404751964760301569,词句理解,5,0.61%,0.5,中频
39,1404751965691437057,行程问题,5,0.61%,0.5,中频
40,1404751968258351106,直接找数,5,0.61%,0.5,中频
41,1404751969172709378,现期倍数,5,0.61%,0.5,中频
42,1404751970003181569,民法典,5,0.61%,0.5,中频
43,1404751970028347394,刑法,5,0.61%,0.5,中频
44,1404751970280005634,化学常识,5,0.61%,0.5,中频
45,1404751968883302402,两期比重,4,0.49%,0.5,中频
46,1404751969017520129,平均数的增长率,4,0.49%,0.5,中频
47,1404751969818632193,宏观经济与调控政策,4,0.49%,0.5,中频
48,1404751969948655618,宪法,4,0.49%,0.5,中频
49,1404751969973821441,行政法,4,0.49%,0.5,中频
50,1404751970586189825,国情社情,4,0.49%,0.5,中频
51,1404761381907091457,中心主旨,4,0.49%,0.5,中频
52,1405075615249485826,增长量比较,4,0.49%,0.5,中频
53,1404751964894519298,语段衔接,3,0.36%,0.5,中频
54,1404751969558585345,政治常识,3,0.36%,0.5,中频
55,1404761437985955841,标题添加,3,0.36%,0.5,中频
56,1404763205159477250,其他,3,0.36%,0.5,中频
57,1404751965506887681,年龄问题,2,0.24%,0.5,中频
58,1404751965586579458,倍数约数问题,2,0.24%,0.5,中频
59,1404751968312877057,排序类,2,0.24%,0.5,中频
60,1404751968476454913,基期和差,2,0.24%,0.5,中频
61,1404751968858136577,基期比重,2,0.24%,0.5,中频
62,1404751970103844865,劳动法,2,0.24%,0.5,中频
63,1404751970179342337,民事诉讼法,2,0.24%,0.5,中频
64,1404751965431390209,浓度问题,1,0.12%,0.5,中频
65,1404751965481721857,计数模型问题,1,0.12%,0.5,中频
66,1404751965561413633,周期问题,1,0.12%,0.5,中频
67,1404751965741768705,容斥原理问题,1,0.12%,0.5,中频
68,1404751965964066818,统筹规划问题,1,0.12%,0.5,中频
69,1404751968505815042,现期计算,1,0.12%,0.5,中频
70,1404751968614866945,混合增长率,1,0.12%,0.5,中频
71,1404751968640032769,间隔增长率,1,0.12%,0.5,中频
72,1404751969042685954,平均数的增长量,1,0.12%,0.5,中频
73,1404751969147543553,基期倍数,1,0.12%,0.5,中频
74,1404751969583751170,马克思主义,1,0.12%,0.5,中频
75,1404751969793466369,市场,1,0.12%,0.5,中频
76,1404751969919295489,法理学,1,0.12%,0.5,中频
77,1404751970204508161,经济法,1,0.12%,0.5,中频
78,1404751970431000577,世界历史,1,0.12%,0.5,中频
79,1404761569578049538,推断下文,1,0.12%,0.5,中频
80,1404761669594402818,选词填空,1,0.12%,0.5,中频
81,1404761720489107457,其他,1,0.12%,0.5,中频
