id,subject_id,project_id
1402934813137166338,142,143
1404740261700034562,143,144
1404993642226114562,144,144
1405841889819746305,190,157
1405847575802798082,160,153
1405847955299229697,194,157
1405848583656300546,166,155
1405849536405037058,191,157
1405849790856683521,187,157
1405850718430568449,167,155
1405850816266903554,193,157
1405851236629078017,168,155
1405852226920390657,189,157
1405854111207268354,195,157
1405854748254937089,192,157
1405856085461966849,186,157
1405856559657394177,184,157
1405857291626356737,171,155
1405857568711106562,178,155
1405857748839686146,175,155
1405857917605896194,179,155
1405858547241590785,165,157
1405859233879154690,181,157
1405861198386290690,185,157
1405862013859651586,163,157
1405863816809947137,162,157
1405865954789302274,183,157
1405867401485082626,188,157
1405868495678332929,180,157
1405872708902838274,177,155
1405873254635675650,182,157
1405916084230545410,198,158
1405925876625956865,194,158
1405927535371886593,200,158
1405927739189895169,184,158
1405927833973415937,183,158
1405927942664609793,188,158
1405929771598618626,192,158
1405932127136522242,185,158
1406841123263488002,145,146
1406847774322974721,197,145
1406901914935877633,159,152
1406913511267246082,158,152
1406914110789115905,160,152
1407202318546493442,155,159
1407273049380102145,157,150
1407609049336373249,151,149
1412602634852294658,203,161
1412608994390237185,204,161
1412609206076760065,205,161
1412609394126618625,206,161
1415589478622035969,201,154
1417678225611874305,208,154
1418069235475079170,209,162
1419885010483937282,210,163
1419889034505150466,212,162
1419893932340731906,213,163
1419929075788996610,214,160
1419942470842318850,207,160
1419944826556383234,215,163
1419951324847857665,216,164
1419968742372933634,217,163
1420213123692625921,218,162
1420355539212959745,150,149
1420749800815198210,219,163
1421000601911427073,149,147
1422026596848238594,222,164
1422027696179511297,220,160
1422027902377451522,221,160
1422028280120664066,223,162
1422030989850763265,224,164
1422031374011260929,225,164
1422049483688771586,226,164
1422065264587366402,227,164
1422390960970981377,229,163
1422396060284149761,230,164
1422398321500545025,231,163
1422399397723635713,232,160
1422403909930713089,233,164
1422493417678307330,234,163
1422759223527997442,235,162
1422761470743805953,236,162
1422763796430848001,237,162
1422764595772915714,238,162
1422791724212420609,239,159
1422791948855148546,240,159
1422792102291177474,241,159
1422794273617010689,242,164
1422796129640906754,152,151
1422796173710458882,243,164
1422797250402639874,244,164
1422830467025395714,245,162
1422831284694810626,246,162
1423482126104002561,248,154
1423482314029793282,247,154
1423562751907127298,249,163
1423599347725426689,250,160
1423600225643585537,253,164
1423600347026743298,252,164
1423600456330305538,251,164
1424580546014928897,254,160
1424582633188679681,255,162
1424584027601821698,256,163
1424584387443744770,256,162
1424584454391463938,256,160
1424584986130309121,257,164
1424586304408444929,258,162
1424668859245715457,259,164
1425028936006107138,260,162
1425029470637260801,261,164
1425330012410011650,262,163
1425348385327996930,265,166
1425389137508622338,263,166
1425389534661312514,264,166
1425747268331823106,267,162
1426031131098873858,268,163
1426065325222715394,269,167
1426065594073407490,270,167
1426067921432215554,271,163
1426105029586509826,272,160
1426127958930358273,273,164
1427195052824461314,274,163
1427221808709107713,275,164
1427466490085113857,276,163
1427470035765166081,277,164
1427910787869368322,266,166
1427915577445769217,278,164
1427928895640231937,279,164
1427929167098019842,280,164
1427957606099902466,281,163
1428193384912912385,282,163
1428196264748965890,283,163
1428256812903620609,284,164
1430077756785745922,285,168
1433636455479988225,286,151
1437292458754367489,287,169
1437297190034690050,287,162
1438813636397060098,289,170
1438813820983631873,288,170
